name,nameid,price,price_change_percentage
PURPLE PEPE,purple-pepe,9.725626164806853e-05,-2.288799160745125
Launch Coin on Believe,ben-pasternak,0.18016740448351692,784.8849541608378
Hey Anon,heyanon,7.181858279363205,-9.849579096995713
Quai Network,quai-network,0.1068540931871565,-10.450944164490421
Moo Deng,moo-deng,0.3080973847617313,32.017353140857196
Redacted,redacted-2,0.0495331229431871,-51.59675120588477
Hyperliquid,hyperliquid,25.003848530392677,0.5261350063704436
Bertram The Pomeranian,bertram-the-pomeranian,0.03606377248419048,14.559039553782874
Pi Network,pi-network,1.1146910080995796,-5.233861291214172
Sui,sui,3.9870873794354194,0.7723478186763417
Virtuals Protocol,virtual-protocol,2.0290729587537104,1.1496695402816324
XRP,ripple,2.530203274291745,-1.499875969640174
Bittensor,bittensor,453.8215493055475,-0.07289252001100734
gooncoin,gooncoin,0.04849165881396183,162.26656668053857
Ethereum,ethereum,2549.2390312495745,1.1434773178026636
